taxonomic lineage,TR2-64-1 (30331),WC-10-1 (22682),TR1-62-2 (47709),TR2-44-2 (44496),WC-30-2 (48512),TR1-52-2 (51427),TR1-42-2 (37339),TR2-24-2 (37425),WC-50-2 (50936),WC-40-2 (41928),WC-35-2 (44988),TR1-32-2 (68201),WC-20-2 (36081),TR2-34-2 (61197),Mel1-3 (48173),Mel1M-2 (46167),Mel2S-3 (41184),Mel3S-1 (59205),Ritt1-3 (33353),Ritt3-3 (32867),Ritt3M-3 (42448)
super kingdom.Bacteria;phylum.Abditibacteriota;class.Abditibacteria;order.Abditibacteriales;family.Abditibacteriaceae;genus.Abditibacterium;NA,0,0,11,61,0,0,6,300,0,0,0,0,0,60,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,213,0,0,0,35,0,35,0,49,0,11,13,24,53,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Holosporales;family.Holosporaceae;NA;NA,0,0,0,191,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,0,0,0,0,49,161,177,0,0,0,18,22,0,3,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;NA;NA,0,0,0,0,154,0,0,0,82,20,108,0,0,0,0,0,0,64,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Rhizobiales_Incertae_Sedis;genus.Bauldia;NA,0,0,0,0,19,0,0,0,0,0,11,0,5,0,0,21,73,298,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Thermoleophilia;order.Solirubrobacterales;family.Solirubrobacteraceae;genus.Conexibacter;NA,0,0,13,86,0,0,38,93,0,0,0,44,0,132,0,0,0,0,12,0,0
super kingdom.Bacteria;phylum.Proteobacteria;NA;NA;NA;NA;NA,0,0,0,0,0,0,363,42,0,0,0,11,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;NA;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,81,8,0,0,0,56
super kingdom.Bacteria;phylum.Chloroflexi;class.Anaerolineae;order.SBR1031;family.A4b;NA;NA,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Acetobacterales;family.Acetobacteraceae;NA;NA,0,0,0,0,0,0,21,117,0,0,0,0,0,273,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.WPS-2;NA;NA;NA;NA;NA,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Cyanobacteria;class.Cyanobacteriia;order.Cyanobacteriales;family.Nostocaceae;NA;NA,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Armatimonadota;class.Fimbriimonadia;order.Fimbriimonadales;family.Fimbriimonadaceae;NA;NA,0,0,187,0,0,190,7,0,0,0,0,0,0,3,0,0,0,0,0,0,16
super kingdom.Bacteria;phylum.RCP2-54;NA;NA;NA;NA;NA,0,0,2,25,27,0,0,89,45,21,0,0,0,40,3,27,41,82,0,0,0
super kingdom.Bacteria;phylum.Myxococcota;class.Polyangia;order.Haliangiales;family.Haliangiaceae;genus.Haliangium;NA,0,0,0,0,12,0,0,0,59,11,46,0,14,0,47,118,22,60,0,7,6
super kingdom.Bacteria;phylum.Actinobacteriota;class.Acidimicrobiia;NA;NA;NA;NA,0,0,11,19,0,0,71,5,91,30,0,70,0,104,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Actinobacteria;order.Frankiales;family.Frankiaceae;genus.Jatrophihabitans;NA,0,0,0,0,82,0,59,0,18,122,82,0,14,0,0,5,0,16,0,0,0
super kingdom.Bacteria;phylum.Myxococcota;class.Myxococcia;order.Myxococcales;family.Myxococcaceae;NA;NA,0,0,0,0,48,0,0,0,0,0,10,0,17,0,0,45,11,265,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Beijerinckiaceae;genus.Methylocapsa;NA,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Thermoleophilia;order.Gaiellales;NA;NA;NA,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.SHA-26;NA;NA;NA;NA,0,0,0,0,0,30,87,0,35,0,0,0,0,0,80,0,0,0,80,24,49
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Acidipila-Silvibacterium;NA,0,0,0,80,0,0,0,56,0,0,0,20,0,228,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Isosphaerales;family.Isosphaeraceae;NA;NA,0,0,108,0,0,97,0,0,0,0,0,0,0,24,0,0,0,0,0,13,141
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,0,10,10,0,63,5,0,0,0,0,61,36,14,0,16,59,106
super kingdom.Bacteria;phylum.Chloroflexi;class.Anaerolineae;order.SBR1031;NA;NA;NA,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,6,62,265,0,0,24
super kingdom.Bacteria;phylum.Planctomycetota;class.BD7-11;NA;NA;NA;NA,0,0,0,0,24,0,0,0,18,14,38,0,57,0,25,61,38,98,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;NA;NA;NA,0,0,0,0,0,0,0,0,0,15,0,0,358,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Bacteroidota;class.Bacteroidia;order.Chitinophagales;family.Chitinophagaceae;NA;NA,0,0,0,62,0,0,0,266,0,0,0,0,0,41,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;NA;NA,0,0,0,0,0,0,0,0,80,96,126,0,26,0,40,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.FCPS473;NA,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,181,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Acidipila-Silvibacterium;NA,0,0,29,115,0,0,14,157,0,0,0,14,0,32,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.1921-3;NA,0,0,0,0,0,0,0,0,265,0,94,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.GAL15;NA;NA;NA;NA;NA,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,0,0,0,44,0,55,44,0,0,0,0,143,0,72,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Armatimonadota;class.Chthonomonadetes;order.Chthonomonadales;family.Chthonomonadaceae;genus.Chthonomonas;NA,0,0,0,0,26,0,0,0,15,12,109,0,8,0,0,12,59,110,0,0,5
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.B12-WMSP1;NA;NA;NA,0,0,0,0,57,0,0,0,0,0,15,0,10,0,47,20,22,184,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;NA;NA;NA;NA;NA,0,0,0,0,26,0,4,0,10,122,67,0,4,0,62,19,8,17,0,4,10
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Sphingomonadales;family.Sphingomonadaceae;genus.Novosphingobium;NA,0,0,0,0,0,0,0,0,78,255,0,0,14,2,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Caulobacterales;family.Caulobacteraceae;genus.Phenylobacterium;NA,0,0,0,0,0,0,0,0,0,109,240,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Holophagae;order.Subgroup_7;NA;NA;NA,0,0,0,0,282,0,0,0,0,0,11,0,55,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Myxococcota;class.Polyangia;order.Polyangiales;family.Polyangiaceae;genus.Pajaroellobacter;NA,0,0,0,0,0,0,7,0,14,0,18,0,0,0,117,61,0,0,0,29,102
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Subgroup_2;NA;NA;NA,0,0,0,0,50,0,0,0,0,0,0,0,180,0,0,16,0,97,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Thermoleophilia;order.Solirubrobacterales;family.Solirubrobacteraceae;genus.Conexibacter;NA,0,0,0,0,226,0,0,0,0,0,54,0,51,0,9,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Pseudomonadales;family.Pseudomonadaceae;genus.Pseudomonas;NA,0,0,0,0,0,0,0,0,0,43,8,0,0,0,0,0,0,0,287,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Thermoleophilia;order.Solirubrobacterales;family.Solirubrobacteraceae;genus.Conexibacter;NA,0,0,16,20,0,11,18,0,0,0,0,85,0,180,0,0,0,0,0,0,7
super kingdom.Bacteria;phylum.Planctomycetota;class.Phycisphaerae;order.Tepidisphaerales;family.WD2101_soil_group;NA;NA,0,0,0,21,0,0,0,242,0,0,0,0,0,72,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Dependentiae;class.Babeliae;order.Babeliales;family.Vermiphilaceae;NA;NA,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,18,55,0,0,37,88
super kingdom.Bacteria;phylum.Myxococcota;class.Polyangia;order.MSB-4B10;NA;NA;NA,0,0,0,0,0,0,0,0,0,118,0,0,53,0,0,39,46,77,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;NA;NA,0,0,0,0,0,0,0,0,4,0,0,0,15,0,4,14,10,285,0,0,0
super kingdom.Bacteria;phylum.Armatimonadota;class.Fimbriimonadia;order.Fimbriimonadales;NA;NA;NA,0,0,35,6,0,118,13,0,0,0,0,63,0,96,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Reyranellales;family.Reyranellaceae;genus.Reyranella;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,263
super kingdom.Bacteria;phylum.Cyanobacteria;class.Vampirivibrionia;order.Obscuribacterales;family.Obscuribacteraceae;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,265
super kingdom.Bacteria;phylum.Bacteroidota;class.Kryptonia;order.Kryptoniales;family.BSV26;NA;NA,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;NA;NA,0,0,80,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;genus.Bradyrhizobium;NA,0,0,110,0,0,69,0,0,0,0,0,0,0,0,0,22,0,0,0,46,76
super kingdom.Bacteria;phylum.Planctomycetota;class.Phycisphaerae;order.Tepidisphaerales;family.WD2101_soil_group;NA;NA,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Beijerinckiaceae;NA;NA,0,0,0,0,86,0,0,0,0,0,0,0,208,0,0,0,0,28,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;NA;NA,0,0,177,20,0,0,92,0,0,0,0,0,0,20,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,152,0,0,0,0,0,67,0,73,0,0,0,0,0,0,17,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Blastocatellia;order.Pyrinomonadales;family.Pyrinomonadaceae;genus.Pyrinomonas;NA,277,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Myxococcota;class.Myxococcia;order.Myxococcales;family.Anaeromyxobacteraceae;genus.Anaeromyxobacter;NA,0,0,0,0,0,0,0,0,71,60,15,0,0,0,22,58,55,12,0,0,13
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;genus.Rhodoplanes;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,258,0,0,0
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.1921-3;NA,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Xanthomonadales;family.Rhodanobacteraceae;genus.Rhodanobacter;NA,0,0,0,0,247,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Subgroup_2;NA;NA;NA,0,0,0,0,0,0,0,0,52,12,0,0,0,0,31,49,58,77,0,0,19
super kingdom.Bacteria;phylum.Bacteroidota;class.Bacteroidia;order.Chitinophagales;family.Chitinophagaceae;NA;NA,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Armatimonadota;NA;NA;NA;NA;NA,0,0,0,0,13,0,0,0,48,0,43,0,0,0,45,40,22,59,0,6,20
super kingdom.Bacteria;phylum.Bacteroidota;class.Bacteroidia;order.Cytophagales;family.Hymenobacteraceae;genus.Hymenobacter;NA,0,0,0,118,0,0,0,54,0,0,0,0,0,122,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.B10-SB3A;NA;NA;NA,0,0,0,23,13,0,19,2,29,36,20,4,0,30,10,47,43,17,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,132,0,0,0,0,0,11,0,144,0,0,0,0,0,0,0,5
super kingdom.Bacteria;phylum.Chloroflexi;class.Anaerolineae;order.Caldilineales;family.Caldilineaceae;NA;NA,0,0,0,0,44,0,0,0,26,0,18,0,10,0,0,29,90,75,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Firmicutes;class.Sulfobacillia;order.Sulfobacillales;family.Sulfobacillaceae;NA;NA,0,0,13,56,0,0,0,4,0,0,0,39,0,178,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.BD7-11;NA;NA;NA;NA,0,0,0,0,184,0,0,0,0,0,0,0,15,0,0,0,12,77,0,0,0
super kingdom.Bacteria;phylum.Myxococcota;class.Polyangia;order.Polyangiales;family.Polyangiaceae;genus.Pajaroellobacter;NA,0,0,0,0,0,0,0,0,143,48,0,0,0,0,84,0,0,0,0,9,0
super kingdom.Bacteria;phylum.Myxococcota;class.Myxococcia;order.Myxococcales;family.Anaeromyxobacteraceae;genus.Anaeromyxobacter;NA,0,0,0,0,180,0,0,0,0,18,30,0,34,0,0,0,0,21,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Burkholderiales;family.Oxalobacteraceae;genus.Actimicrobium;NA,0,0,0,0,26,0,0,0,20,140,55,0,0,0,0,0,0,42,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Isosphaerales;family.Isosphaeraceae;genus.Candidatus_Nostocoida;NA,0,0,0,0,33,0,0,0,0,0,0,0,234,0,0,16,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Bryobacterales;family.Bryobacteraceae;genus.Bryobacter;NA,0,0,0,0,36,0,0,0,119,58,55,0,0,0,0,15,0,0,0,0,0
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,0,0,0,0,31,0,0,0,63,32,16,0,2,0,22,41,55,17,0,3,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Sphingomonadales;family.Sphingomonadaceae;genus.Sandarakinorhabdus;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,271
super kingdom.Bacteria;phylum.Acidobacteriota;class.Holophagae;order.Subgroup_7;NA;NA;NA,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Hyphomicrobiaceae;genus.Hyphomicrobium;NA,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,118,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Gammaproteobacteria_Incertae_Sedis;family.Unknown_Family;genus.Acidibacter;NA,0,0,0,0,112,0,0,0,0,0,42,0,34,0,0,0,0,73,0,16,0
super kingdom.Bacteria;phylum.Chloroflexi;class.AD3;NA;NA;NA;NA,0,0,0,0,87,0,0,0,0,21,75,0,0,0,0,8,55,29,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,169,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.RCP2-54;NA;NA;NA;NA;NA,0,0,0,0,25,0,0,0,0,30,17,0,17,0,0,0,83,101,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,63,0,127,18,0,0,0,35,30
super kingdom.Bacteria;phylum.Armatimonadota;class.Chthonomonadetes;order.Chthonomonadales;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,31,0,0,0,0,190
super kingdom.Bacteria;phylum.Planctomycetota;class.BD7-11;NA;NA;NA;NA,0,0,0,0,0,0,0,0,9,0,0,0,0,0,148,38,0,0,0,26,51
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Isosphaerales;family.Isosphaeraceae;genus.Aquisphaera;NA,0,0,9,82,0,0,131,0,0,0,0,27,0,22,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Caulobacterales;family.Caulobacteraceae;NA;NA,0,0,0,0,180,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Dependentiae;class.Babeliae;order.Babeliales;family.Vermiphilaceae;NA;NA,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,64,171,20,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Beijerinckiaceae;genus.Methylovirgula;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,48,136,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Beijerinckiaceae;genus.alphaI_cluster;NA,0,0,0,0,45,0,0,0,13,70,139,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.AD3;NA;NA;NA;NA,0,0,0,0,250,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Myxococcota;class.Polyangia;order.Polyangiales;family.Polyangiaceae;genus.Pajaroellobacter;NA,0,0,0,0,106,0,0,0,0,20,127,0,11,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Actinobacteriota;class.Thermoleophilia;order.Gaiellales;NA;NA;NA,0,0,0,0,0,0,0,0,0,24,0,0,240,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Nitrospirota;class.Nitrospiria;order.Nitrospirales;family.Nitrospiraceae;genus.Nitrospira;NA,0,0,0,0,157,0,0,0,0,0,18,0,59,0,0,0,0,29,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Acetobacterales;family.Acetobacteraceae;NA;NA,0,0,0,0,50,0,0,0,23,40,78,0,49,0,0,0,0,20,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Isosphaerales;family.Isosphaeraceae;genus.Paludisphaera;NA,0,0,0,25,0,7,123,0,0,0,0,0,0,102,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.AD3;NA;NA;NA;NA,0,0,0,0,198,0,0,0,0,0,0,0,13,0,17,0,0,27,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Burkholderiales;family.Burkholderiaceae;genus.Limnobacter;NA,0,0,0,0,115,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Burkholderiales;family.Nitrosomonadaceae;genus.mle1-7;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,15,223
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,84,0,0,0,6,16,55,0,14,0,4,11,32,28,0,0,0
super kingdom.Bacteria;phylum.Deinococcota;class.Deinococci;order.Thermales;family.Thermaceae;genus.Thermus;NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,87,12
super kingdom.Bacteria;phylum.Actinobacteriota;class.Acidimicrobiia;order.IMCC26256;NA;NA;NA,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,0,0,43,11,0,98,6,0,11,0,0,19,0,38,0,0,0,0,14,0,0
super kingdom.Bacteria;phylum.WPS-2;NA;NA;NA;NA;NA,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Xanthomonadales;family.Rhodanobacteraceae;genus.Mizugakiibacter;NA,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Myxococcota;class.Polyangia;order.Haliangiales;family.Haliangiaceae;genus.Haliangium;NA,0,0,0,0,52,0,0,0,0,36,0,0,13,0,0,7,33,98,0,0,0
super kingdom.Bacteria;phylum.Cyanobacteria;class.Cyanobacteriia;order.Cyanobacteriales;family.Nostocaceae;genus.Stigonema_SAG_48.90;NA,0,0,0,0,0,0,0,0,66,19,0,0,0,0,70,0,68,16,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;NA;NA,0,0,0,0,4,0,0,0,57,0,26,0,0,0,64,59,15,13,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Blastocatellia;order.45597;NA;NA;NA,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Reyranellales;family.Reyranellaceae;genus.Reyranella;NA,72,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Archaea;phylum.Crenarchaeota;class.Nitrososphaeria;order.SCGC_AB-179-E04;NA;NA;NA,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Bacteroidota;class.Bacteroidia;order.Chitinophagales;family.Chitinophagaceae;NA;NA,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Planctomycetota;class.Planctomycetes;order.Gemmatales;family.Gemmataceae;NA;NA,0,0,0,0,0,0,0,0,0,9,0,0,226,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.1921-2;NA,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Acetobacterales;family.Acetobacteraceae;NA;NA,0,0,0,32,0,0,0,114,0,0,0,0,0,84,0,0,0,0,0,0,0
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,0,0,0,0,19,0,0,0,0,0,10,0,0,0,5,15,49,115,0,0,16
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae;NA;NA,0,0,0,0,63,0,0,0,0,41,21,0,0,0,0,30,0,30,0,0,41
super kingdom.Bacteria;phylum.Chloroflexi;class.JG30-KF-CM66;NA;NA;NA;NA,0,0,11,0,0,191,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Acidobacteriota;class.Acidobacteriae;order.Acidobacteriales;family.Acidobacteriaceae_(Subgroup_1);genus.Granulicella;NA,0,0,0,32,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Gemmatimonadota;class.Gemmatimonadetes;order.Gemmatimonadales;family.Gemmatimonadaceae;NA;NA,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,6,22,176,0,0,0
super kingdom.Bacteria;NA;NA;NA;NA;NA;NA,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.Ktedonobacterales;family.Ktedonobacteraceae;genus.1921-2;NA,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Chloroflexia;order.Elev-1554;NA;NA;NA,0,0,10,0,0,4,145,0,0,0,0,30,0,31,0,0,0,0,0,0,0
super kingdom.Bacteria;phylum.Chloroflexi;class.Ktedonobacteria;order.B12-WMSP1;NA;NA;NA,0,0,0,0,185,0,0,0,13,0,8,0,14,0,0,0,0,0,0,0,0
